"","sign","ordering","count","e_count","n_count","t_count","j_count","st_count","sf_count","nt_count","nf_count","element","e_pop_avg","n_pop_avg","t_pop_avg","j_pop_avg","sf_pop_avg","st_pop_avg","nt_pop_avg","nf_pop_avg","e_z","n_z","t_z","j_z","st_z","sf_z","nt_z","nf_z"
"aquarius","aquarius",11,9,5,6,5,4,3,0,2,4,"air",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,0.2,0.8,0.4,-0.2,-1.7,0.8,-0.2,1.1
"aries","aries",1,12,7,7,7,4,2,3,5,2,"fire",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,0.5,0.4,0.7,-1,0.1,-0.5,1.3,-0.9
"cancer","cancer",4,18,9,8,11,10,6,4,5,3,"water",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,-0.2,-0.7,1.1,0.6,-0.2,1.1,0.2,-1
"capricorn","capricorn",10,12,3,6,5,8,2,4,3,3,"earth",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,-1.9,-0.2,-0.5,1.3,0.7,-0.5,0,-0.2
"gemini","gemini",3,14,5,7,7,6,5,2,2,5,"air",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,-1.2,-0.2,0.1,-0.4,-0.9,1.2,-1,0.7
"leo","leo",5,13,8,8,3,9,1,4,2,6,"fire",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,0.7,0.6,-1.8,1.5,0.6,-1.3,-0.8,1.5
"libra","libra",7,9,4,5,6,6,2,2,4,1,"air",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,-0.4,0.1,1.1,1.1,-0.1,0,1.3,-1.1
"pisces","pisces",12,12,7,7,7,2,4,1,3,4,"water",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,0.5,0.4,0.7,-2.2,-1.3,0.9,0,0.4
"saggittarius","saggittarius",9,13,10,5,7,4,3,5,4,1,"fire",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,1.8,-1.1,0.4,-1.3,1.2,0,0.4,-1.6
"scorpio","scorpio",8,14,8,9,6,7,1,4,5,4,"water",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,0.4,0.8,-0.4,0.1,0.4,-1.4,0.9,0.1
"taurus","taurus",2,7,4,2,2,2,2,3,0,2,"earth",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,0.3,-1.3,-1,-1,1.2,0.4,-1.5,0.1
"virgo","virgo",6,8,3,5,2,6,1,2,1,4,"earth",0.517730496453901,0.531914893617021,0.482269503546099,0.482269503546099,0.24113475177305,0.226950354609929,0.25531914893617,0.276595744680851,-0.8,0.5,-1.3,1.5,0.1,-0.7,-0.8,1.4
